Model,colors3,proteins,synthetic,mutagenicity,coildel,dblp,dd,twitter,molhiv,peptides_func
cpp_all,0.2743,0.6964,0.4333,0.8594,0.7513,0.9049,N/A,0.6271,0.8182,0.6954
cpp_random,0.4029,0.7321,0.5333,0.8387,0.8282,0.9096,N/A,0.6290,0.8190,0.7063
cpp_raw,0.4143,0.6875,0.4333,0.8364,0.8308,0.9168,N/A,0.6289,0.8391,0.6934
eulerian_all,0.2581,0.7143,0.5667,0.8548,0.6949,0.9281,0.7712,0.6205,0.8460,0.6924
eulerian_random,0.3981,0.7500,0.6000,0.8479,0.8231,0.9178,0.7712,0.6249,0.8267,0.7090
eulerian_raw,0.3743,0.7232,0.5667,0.8203,0.8410,0.9137,0.7966,0.6256,0.8245,0.6927
fcpp_all,0.3029,0.7232,0.5667,0.8571,0.7256,0.9183,N/A,0.6279,0.8114,0.7031
fcpp_random,0.4200,0.7143,0.6333,0.8548,0.7949,0.9075,N/A,0.6301,0.8376,0.7020
fcpp_raw,0.3410,0.6607,0.5667,0.8502,0.8128,0.9188,N/A,0.6289,0.8176,0.6927
feuler_all,0.2714,0.7054,0.5667,0.8433,0.7000,0.9245,0.7203,0.6230,0.8346,0.7040
feuler_random,0.4067,0.7232,0.5667,0.8756,0.8103,0.9147,0.7458,0.6256,0.8208,0.7017
feuler_raw,0.3505,0.6786,0.5667,0.8410,0.8179,0.8849,0.7797,0.6167,0.8050,0.6938
topo_all,0.2705,0.6518,0.5667,0.7189,0.5949,0.9265,0.6864,0.6208,0.6151,0.7153
topo_random,0.5648,0.6696,0.6000,0.7488,0.7641,0.9234,0.7034,0.6250,0.8021,0.7158
topo_raw,0.3562,0.6696,0.4333,0.7120,0.7615,0.9275,0.7034,0.6280,0.7977,0.7025
