Model,qm9,zinc,aqsol,peptides_struct
cpp_all,0.0921,0.3093,0.6939,N/A
cpp_random,0.0932,0.2627,0.6510,N/A
cpp_raw,0.1162,0.3506,0.6899,N/A
eulerian_all,0.0933,0.3086,0.6993,N/A
eulerian_random,0.0942,0.2736,0.6476,N/A
eulerian_raw,0.1140,0.3160,0.6892,N/A
fcpp_all,0.0931,0.2987,0.6766,N/A
fcpp_random,0.0938,0.2521,0.6701,N/A
fcpp_raw,0.1183,0.3534,0.6952,N/A
feuler_all,0.0944,0.2904,0.6726,N/A
feuler_random,0.0964,0.2829,0.6486,N/A
feuler_raw,0.1149,0.3275,0.6851,N/A
smiles_all,0.1277,0.4682,0.8322,N/A
smiles_random,N/A,0.3266,0.7464,N/A
smiles_raw,N/A,0.3180,0.7832,N/A
topo_all,0.2925,1.0858,0.9550,N/A
topo_random,0.2745,0.9269,0.8102,N/A
topo_raw,0.2751,1.0482,0.8409,N/A
